lftUprLipRas,rgtBrwLwr,lftUprLidRas,lftUprLipStr,lftLwrLipStr,lftLwrLidTgt,lftChkRas,lftLwrLidRas,lftCnrDep,rgtNstrlFlr,ID,Group
0.0836287,0.873978,0.766169,0.260517,0.0906951,0.189871,0.669263,0.518204,0.0,0.00455887,S1PT08,PT
0.167257,0.882089,0.7878,0.307883,0.102535,0.0949356,0.632485,0.612423,0.0,0.0136766,S1PT08,PT
0.0,0.971128,0.795376,0.236833,0.105141,0.271245,0.649863,0.471095,0.0,0.0,S1PT08,PT
0.0,0.809273,0.795376,0.846459,0.0762496,0.0,0.907206,0.471095,0.0,0.0455887,S1PT08,PT
0.125443,0.878034,0.776984,0.2842,0.096615,0.142403,0.650874,0.565313,0.0,0.00911774,S1PT08,PT
0.0,0.971128,0.795376,0.236833,0.0906951,0.271245,0.649863,0.471095,0.798821,0.00455887,S1PT08,PT
0.0627215,0.884117,0.78618,0.412923,0.093655,0.139013,0.714704,0.518204,0.0,0.015956,S1PT08,PT
0.0836287,0.873978,0.766169,0.260517,0.0906951,0.189871,0.669263,0.518204,0.0,0.00455887,S1PT08,PT
0.0,0.155632,0.0,0.0,0.0,0.0,0.0,0.0,0.676514,0.0,S1PT08,PT
0.0543586,0.752578,0.624942,0.238895,0.074332,0.148506,0.536941,0.414563,0.295067,0.0068383,S1PT08,PT
0.0,0.155632,0.766169,0.0,0.0,0.0,0.0,0.0,0.676514,0.00455887,S1PT08,PT
0.0627215,0.739175,0.776984,0.2842,0.096615,0.142403,0.714704,0.518204,0.0,0.00911774,S1PT08,PT
0.0418143,0.514805,0.383084,0.130258,0.0453476,0.0949356,0.334631,0.259102,0.338257,0.00227943,S1PT08,PT
0.0627215,0.739175,0.624942,0.2842,0.074332,0.142403,0.714704,0.518204,0.295067,0.00911774,S1PT08,PT
0.0543586,0.408165,0.766169,0.914423,0.0,0.0,0.0,0.0,0.295067,0.0068383,S1PT08,PT
0.0480865,0.633691,0.504013,0.184576,0.0598398,0.121721,0.435786,0.336833,0.316662,0.00455887,S1PT08,PT
0.0397236,0.540547,0.637795,0.163338,0.0540736,0.0964614,0.396569,0.297967,0.32746,0.00569859,S1PT08,PT
0.0418143,0.514805,0.383084,0.130258,0.0453476,0.0949356,0.334631,0.259102,0.338257,0.00227943,S1PT08,PT
0.0,0.0,0.0,0.775741,0.0,0.717422,0.416778,0.0,0.0,0.0,S1HC03,HC
0.0,0.0,0.0,0.0,0.0,0.298246,0.0,0.0,0.0,0.0,S1HC03,HC
0.0,0.0,0.0,0.0,0.0,0.298246,0.0,0.0,0.0,0.0,S1HC03,HC
0.0,0.0,0.0,0.38787,0.0,0.507834,0.208389,0.0,0.0,0.0,S1HC03,HC
0.0,0.402529,0.0,0.38787,0.0,0.507834,0.0,0.0,0.0,0.0,S1HC03,HC
0.0,0.0,0.0,0.0,0.0,0.507834,0.0,0.0,0.0,0.0,S1HC03,HC
0.0,0.0,0.0,0.38787,0.0,0.507834,0.208389,0.0,0.0,0.0,S1HC03,HC
0.0,0.0,0.0,0.38787,0.0,0.298246,0.0,0.0,0.0,0.0,S1HC03,HC
0.0,0.0,0.0,0.0,0.523843,0.298246,0.0,0.0,0.0,0.0,S1HC03,HC
