Group,ID,TargetEmotion,nGeneration,nSelected
PT,S1PT01,Happy,3,7
PT,S1PT01,Happy,4,6
PT,S1PT01,Happy,5,6
PT,S1PT01,Happy,6,6
PT,S1PT01,Happy,7,5
PT,S1PT01,Happy,8,5
PT,S1PT02,Angry,1,3
PT,S1PT02,Angry,2,10
PT,S1PT02,Angry,3,4
PT,S1PT02,Angry,4,4
PT,S1PT02,Angry,5,6
PT,S1PT02,Angry,6,7
PT,S1PT02,Angry,7,5
PT,S1PT02,Angry,8,7
PT,S1PT02,Fearful,1,1
PT,S1PT02,Fearful,2,2
PT,S1PT02,Fearful,3,3
PT,S1PT02,Fearful,4,2
PT,S1PT02,Fearful,5,6
PT,S1PT02,Fearful,6,3
PT,S1PT02,Fearful,7,2
PT,S1PT02,Fearful,8,2
PT,S1PT02,Happy,1,2
PT,S1PT02,Happy,2,2
PT,S1PT02,Happy,3,2
PT,S1PT02,Happy,4,2
PT,S1PT02,Happy,5,2
PT,S1PT02,Happy,6,2
PT,S1PT02,Happy,7,2
PT,S1PT02,Happy,8,2
PT,S1PT03,Angry,1,2
PT,S1PT03,Angry,2,6
PT,S1PT03,Angry,3,6
PT,S1PT03,Angry,4,4
PT,S1PT03,Angry,5,6
PT,S1PT03,Angry,6,5
PT,S1PT03,Angry,7,6
PT,S1PT03,Angry,8,6
PT,S1PT03,Fearful,1,2
PT,S1PT03,Fearful,2,4
PT,S1PT03,Fearful,3,5
PT,S1PT03,Fearful,4,6
PT,S1PT03,Fearful,5,6
PT,S1PT03,Fearful,6,4
PT,S1PT03,Fearful,7,5
PT,S1PT03,Fearful,8,6
PT,S1PT03,Happy,1,2
PT,S1PT03,Happy,2,1
PT,S1PT03,Happy,3,1
PT,S1PT03,Happy,4,3
PT,S1PT03,Happy,5,2
PT,S1PT03,Happy,6,2
PT,S1PT03,Happy,7,3
PT,S1PT03,Happy,8,3
PT,S1PT04,Angry,1,3
PT,S1PT04,Angry,2,3
PT,S1PT04,Angry,3,3
PT,S1PT04,Angry,4,4
PT,S1PT04,Angry,5,3
PT,S1PT04,Angry,6,1
PT,S1PT04,Angry,7,2
PT,S1PT04,Angry,8,3
PT,S1PT04,Fearful,1,1
PT,S1PT04,Fearful,2,1
